Humidity: 58.30 %, Temp: 20.40 Celsius
Humidity: 59.40 %, Temp: 18.70 Celsius
Humidity: 59.40 %, Temp: 18.60 Celsius
Humidity: 59.40 %, Temp: 18.50 Celsius
Humidity: 59.50 %, Temp: 18.50 Celsius
Humidity: 59.50 %, Temp: 18.40 Celsius
Humidity: 59.60 %, Temp: 18.40 Celsius
Humidity: 59.70 %, Temp: 18.40 Celsius
Humidity: 59.70 %, Temp: 18.30 Celsius
Humidity: 59.90 %, Temp: 18.30 Celsius
Humidity: 59.90 %, Temp: 18.20 Celsius
Humidity: 60.10 %, Temp: 18.30 Celsius
Humidity: 60.10 %, Temp: 18.20 Celsius
Humidity: 60.20 %, Temp: 18.20 Celsius
Humidity: 60.30 %, Temp: 18.20 Celsius
Humidity: 60.40 %, Temp: 18.10 Celsius
Humidity: 60.50 %, Temp: 18.10 Celsius
Humidity: 60.60 %, Temp: 18.10 Celsius
Humidity: 60.70 %, Temp: 18.00 Celsius
Humidity: 60.80 %, Temp: 18.00 Celsius
Humidity: 60.90 %, Temp: 18.00 Celsius
Humidity: 61.00 %, Temp: 18.00 Celsius
Humidity: 61.20 %, Temp: 18.00 Celsius
Humidity: 61.20 %, Temp: 17.90 Celsius
Humidity: 61.30 %, Temp: 17.90 Celsius
Humidity: 61.40 %, Temp: 17.90 Celsius
Humidity: 61.50 %, Temp: 17.80 Celsius
Humidity: 61.50 %, Temp: 17.80 Celsius
Humidity: 61.70 %, Temp: 17.80 Celsius
Humidity: 61.80 %, Temp: 17.80 Celsius
Humidity: 61.90 %, Temp: 17.80 Celsius
Humidity: 61.90 %, Temp: 17.70 Celsius
Humidity: 62.00 %, Temp: 17.70 Celsius
Humidity: 62.10 %, Temp: 17.70 Celsius
Humidity: 62.20 %, Temp: 17.70 Celsius
Humidity: 62.30 %, Temp: 17.60 Celsius
Humidity: 62.40 %, Temp: 17.60 Celsius
Humidity: 62.40 %, Temp: 17.60 Celsius
Humidity: 62.60 %, Temp: 17.60 Celsius
Humidity: 62.70 %, Temp: 17.60 Celsius
Humidity: 62.70 %, Temp: 17.50 Celsius
Humidity: 62.80 %, Temp: 17.50 Celsius
Humidity: 63.00 %, Temp: 17.50 Celsius
Humidity: 63.10 %, Temp: 17.50 Celsius
Humidity: 63.20 %, Temp: 17.50 Celsius
Humidity: 63.30 %, Temp: 17.40 Celsius
